[00:00:00.002] (783247d995c0) INFO   Session id: a779c4d52046d2174fc7a47c10fedcec46a3f119714f2734137f9f3c404c52ff
[00:00:00.249] (783247d995c0) INFO   Sending message: keepalive
[00:00:00.251] (783247d995c0) INFO   Received message: keepalive
[00:00:20.249] (783247d995c0) INFO   Sending message: keepalive
[00:00:20.250] (783247d995c0) INFO   Received message: keepalive
[00:00:40.249] (783247d995c0) INFO   Sending message: keepalive
[00:00:40.250] (783247d995c0) INFO   Received message: keepalive
[00:01:00.249] (783247d995c0) INFO   Sending message: keepalive
[00:01:00.254] (783247d995c0) INFO   Received message: keepalive
[00:01:20.250] (783247d995c0) INFO   Sending message: keepalive
[00:01:20.251] (783247d995c0) INFO   Received message: keepalive
[00:01:36.166] (783247d995c0) INFO   Received message: {"data": {"action": "command", "command": "cd /workspaces/ServerWitch-API/majinboo && huggingface-cli login --token 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"}, "request_id": "ad48a9c6-0dcc-4d87-a897-d229cb4d11aa"}
[00:01:36.169] (783247d995c0) INFO   Sending message: {"data":{"return_code":127,"stdout":"","stderr":"/bin/bash: huggingface-cli: command not found\n"},"error":false,"request_id":"ad48a9c6-0dcc-4d87-a897-d229cb4d11aa"}
[00:01:40.250] (783247d995c0) INFO   Sending message: keepalive
[00:01:40.251] (783247d995c0) INFO   Received message: keepalive
[00:02:00.250] (783247d995c0) INFO   Sending message: keepalive
[00:02:00.251] (783247d995c0) INFO   Received message: keepalive
[00:02:00.453] (783247d995c0) INFO   Received message: {"data": {"action": "command", "command": "pip install huggingface_hub"}, "request_id": "d61c2136-20ce-4e62-ac3a-7b9d35f0b53f"}
